Total Connections,Concurrent Connections,Time taken for tests(s),Failed requests,Time per request(ms),Time per request across all concurrent requests(ms)
1,1,0.002,0,2.426,2.426
2,1,0.002,0,1.256,1.256
2,2,0.002,0,2.391,1.195
4,1,0.005,0,1.154,1.154
4,2,0.004,0,2.159,1.079
4,4,0.003,0,3.369,0.842
8,1,0.009,0,1.108,1.108
8,2,0.006,0,1.538,0.769
8,4,0.005,0,2.683,0.671
8,8,0.005,0,4.978,0.622
16,1,0.018,0,1.097,1.097
16,2,0.011,0,1.369,0.684
16,4,0.010,0,2.443,0.611
16,8,0.009,0,4.259,0.532
16,16,0.009,0,8.740,0.546
32,1,0.036,0,1.117,1.117
32,2,0.020,0,1.253,0.626
32,4,0.017,0,2.104,0.526
32,8,0.015,0,3.745,0.468
32,16,0.016,0,7.827,0.489
32,32,0.016,0,16.174,0.506
64,1,0.072,0,1.122,1.122
64,2,0.039,0,1.224,0.612
64,4,0.032,0,1.991,0.498
64,8,0.029,0,3.617,0.452
64,16,0.029,0,7.284,0.455
64,32,0.030,0,15.281,0.478
64,64,0.032,0,32.384,0.506
128,1,0.143,0,1.113,1.113
128,2,0.077,0,1.202,0.601
128,4,0.062,0,1.944,0.486
128,8,0.058,0,3.608,0.451
128,16,0.058,0,7.203,0.450
128,32,0.058,0,14.483,0.453
128,64,0.059,0,29.693,0.464
128,128,0.129,0,128.932,1.007
256,1,0.287,0,1.122,1.122
256,2,0.160,0,1.248,0.624
256,4,0.122,0,1.904,0.476
256,8,0.116,0,3.615,0.452
256,16,0.114,0,7.133,0.446
256,32,0.160,0,19.942,0.623
256,64,0.118,0,29.407,0.459
256,128,0.120,0,59.748,0.467
256,256,0.125,0,124.974,0.488
512,1,0.572,0,1.117,1.117
512,2,0.308,0,1.201,0.601
512,4,0.241,0,1.882,0.471
512,8,0.227,0,3.555,0.444
512,16,0.228,0,7.139,0.446
512,32,0.229,0,14.302,0.447
512,64,0.229,0,28.652,0.448
512,128,0.234,0,58.636,0.458
512,256,0.240,0,119.806,0.468
512,512,0.289,0,288.739,0.564
1024,1,1.146,0,1.119,1.119
1024,2,0.651,0,1.270,0.635
1024,4,0.483,0,1.886,0.472
1024,8,0.455,0,3.554,0.444
1024,16,0.487,0,7.608,0.475
1024,32,0.459,0,14.348,0.449
1024,64,0.469,0,29.271,0.457
1024,128,0.461,0,57.605,0.450
1024,256,0.478,0,119.389,0.466
1024,512,0.482,0,241.131,0.471
1024,1024,0.000,0,0.000,0.000
